Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Fairbanks North Star Borough, AK",02090,Intentional self-harm by handgun discharge,X72,11,98971,Unreliable
,"Apache County, AZ",04001,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,71818,Unreliable
,"Cochise County, AZ",04003,Intentional self-harm by other and unspecified firearm discharge,X74,11,126770,Unreliable
,"Coconino County, AZ",04005,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,142854,15.4
,"Gila County, AZ",04007,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,53889,Unreliable
,"Gila County, AZ",04007,Intentional self-harm by other and unspecified firearm discharge,X74,14,53889,Unreliable
,"Maricopa County, AZ",04013,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,17,4410824,Unreliable
,"Maricopa County, AZ",04013,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10,4410824,Unreliable
,"Maricopa County, AZ",04013,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,63,4410824,1.4
,"Maricopa County, AZ",04013,Intentional self-poisoning by and exposure to other gases and vapours,X67,19,4410824,Unreliable
,"Maricopa County, AZ",04013,"Intentional self-harm by hanging, strangulation and suffocation",X70,178,4410824,4.0
,"Maricopa County, AZ",04013,Intentional self-harm by handgun discharge,X72,25,4410824,0.6
,"Maricopa County, AZ",04013,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,25,4410824,0.6
,"Maricopa County, AZ",04013,Intentional self-harm by other and unspecified firearm discharge,X74,356,4410824,8.1
,"Maricopa County, AZ",04013,Intentional self-harm by sharp object,X78,13,4410824,Unreliable
,"Maricopa County, AZ",04013,Intentional self-harm by jumping from a high place,X80,10,4410824,Unreliable
,"Mohave County, AZ",04015,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,209550,Unreliable
,"Mohave County, AZ",04015,Intentional self-harm by other and unspecified firearm discharge,X74,53,209550,25.3
,"Navajo County, AZ",04017,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,110445,23.5
,"Navajo County, AZ",04017,Intentional self-harm by other and unspecified firearm discharge,X74,15,110445,Unreliable
,"Pima County, AZ",04019,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,16,1039073,Unreliable
,"Pima County, AZ",04019,"Intentional self-harm by hanging, strangulation and suffocation",X70,47,1039073,4.5
,"Pima County, AZ",04019,Intentional self-harm by handgun discharge,X72,40,1039073,3.8
,"Pima County, AZ",04019,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,18,1039073,Unreliable
,"Pima County, AZ",04019,Intentional self-harm by other and unspecified firearm discharge,X74,66,1039073,6.4
,"Pinal County, AZ",04021,"Intentional self-harm by hanging, strangulation and suffocation",X70,31,447138,6.9
,"Pinal County, AZ",04021,Intentional self-harm by other and unspecified firearm discharge,X74,40,447138,8.9
,"Yavapai County, AZ",04025,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,231993,Unreliable
,"Yavapai County, AZ",04025,Intentional self-harm by handgun discharge,X72,34,231993,14.7
,"Yavapai County, AZ",04025,Intentional self-harm by other and unspecified firearm discharge,X74,17,231993,Unreliable
,"Yuma County, AZ",04027,Intentional self-harm by other and unspecified firearm discharge,X74,19,212128,Unreliable
,"Benton County, AR",05007,Intentional self-harm by other and unspecified firearm discharge,X74,15,272608,Unreliable
,"Crawford County, AR",05033,Intentional self-harm by other and unspecified firearm discharge,X74,10,63406,Unreliable
,"Faulkner County, AR",05045,Intentional self-harm by handgun discharge,X72,12,124806,Unreliable
,"Garland County, AR",05051,Intentional self-harm by other and unspecified firearm discharge,X74,18,99154,Unreliable
,"Pulaski County, AR",05119,Intentional self-harm by other and unspecified firearm discharge,X74,42,392680,10.7
,"Saline County, AR",05125,Intentional self-harm by other and unspecified firearm discharge,X74,13,121421,Unreliable
,"Sebastian County, AR",05131,Intentional self-harm by other and unspecified firearm discharge,X74,13,127753,Unreliable
,"Washington County, AR",05143,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,236961,Unreliable
,"Washington County, AR",05143,Intentional self-harm by other and unspecified firearm discharge,X74,13,236961,Unreliable
,"Alameda County, CA",06001,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,15,1666753,Unreliable
,"Alameda County, CA",06001,"Intentional self-harm by hanging, strangulation and suffocation",X70,60,1666753,3.6
,"Alameda County, CA",06001,Intentional self-harm by handgun discharge,X72,41,1666753,2.5
,"Butte County, CA",06007,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,231256,Unreliable
,"Butte County, CA",06007,Intentional self-harm by handgun discharge,X72,21,231256,9.1
,"Contra Costa County, CA",06013,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13,1150215,Unreliable
,"Contra Costa County, CA",06013,"Intentional self-harm by hanging, strangulation and suffocation",X70,44,1150215,3.8
,"Contra Costa County, CA",06013,Intentional self-harm by other and unspecified firearm discharge,X74,33,1150215,2.9
,"Fresno County, CA",06019,"Intentional self-harm by hanging, strangulation and suffocation",X70,48,994400,4.8
,"Fresno County, CA",06019,Intentional self-harm by other and unspecified firearm discharge,X74,31,994400,3.1
,"Humboldt County, CA",06023,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,136373,Unreliable
,"Kern County, CA",06029,"Intentional self-harm by hanging, strangulation and suffocation",X70,41,896764,4.6
,"Kern County, CA",06029,Intentional self-harm by handgun discharge,X72,19,896764,Unreliable
,"Kern County, CA",06029,Intentional self-harm by other and unspecified firearm discharge,X74,17,896764,Unreliable
,"Kings County, CA",06031,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,151366,Unreliable
,"Los Angeles County, CA",06037,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,29,10105518,0.3
,"Los Angeles County, CA",06037,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,14,10105518,Unreliable
,"Los Angeles County, CA",06037,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,44,10105518,0.4
,"Los Angeles County, CA",06037,Intentional self-poisoning by and exposure to other gases and vapours,X67,31,10105518,0.3
,"Los Angeles County, CA",06037,"Intentional self-harm by hanging, strangulation and suffocation",X70,390,10105518,3.9
,"Los Angeles County, CA",06037,Intentional self-harm by handgun discharge,X72,113,10105518,1.1
,"Los Angeles County, CA",06037,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,31,10105518,0.3
,"Los Angeles County, CA",06037,Intentional self-harm by other and unspecified firearm discharge,X74,156,10105518,1.5
,"Los Angeles County, CA",06037,Intentional self-harm by sharp object,X78,25,10105518,0.2
,"Los Angeles County, CA",06037,Intentional self-harm by jumping from a high place,X80,57,10105518,0.6
,"Los Angeles County, CA",06037,Intentional self-harm by jumping or lying before moving object,X81,23,10105518,0.2
,"Marin County, CA",06041,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,259666,Unreliable
,"Monterey County, CA",06053,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,435594,Unreliable
,"Monterey County, CA",06053,Intentional self-harm by handgun discharge,X72,12,435594,Unreliable
,"Orange County, CA",06059,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,11,3185968,Unreliable
,"Orange County, CA",06059,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,35,3185968,1.1
,"Orange County, CA",06059,"Intentional self-harm by hanging, strangulation and suffocation",X70,149,3185968,4.7
,"Orange County, CA",06059,Intentional self-harm by handgun discharge,X72,83,3185968,2.6
,"Orange County, CA",06059,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,3185968,Unreliable
,"Orange County, CA",06059,Intentional self-harm by other and unspecified firearm discharge,X74,11,3185968,Unreliable
,"Orange County, CA",06059,Intentional self-harm by sharp object,X78,14,3185968,Unreliable
,"Orange County, CA",06059,Intentional self-harm by jumping from a high place,X80,19,3185968,Unreliable
,"Orange County, CA",06059,Intentional self-harm by jumping or lying before moving object,X81,13,3185968,Unreliable
,"Placer County, CA",06061,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,393149,Unreliable
,"Placer County, CA",06061,Intentional self-harm by other and unspecified firearm discharge,X74,13,393149,Unreliable
,"Riverside County, CA",06065,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,37,2450758,1.5
,"Riverside County, CA",06065,"Intentional self-harm by hanging, strangulation and suffocation",X70,110,2450758,4.5
,"Riverside County, CA",06065,Intentional self-harm by handgun discharge,X72,101,2450758,4.1
,"Riverside County, CA",06065,Intentional self-harm by jumping or lying before moving object,X81,10,2450758,Unreliable
,"Sacramento County, CA",06067,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,19,1540975,Unreliable
,"Sacramento County, CA",06067,"Intentional self-harm by hanging, strangulation and suffocation",X70,59,1540975,3.8
,"Sacramento County, CA",06067,Intentional self-harm by handgun discharge,X72,42,1540975,2.7
,"Sacramento County, CA",06067,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,14,1540975,Unreliable
,"Sacramento County, CA",06067,Intentional self-harm by other and unspecified firearm discharge,X74,28,1540975,1.8
,"San Bernardino County, CA",06071,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,2171603,Unreliable
,"San Bernardino County, CA",06071,"Intentional self-harm by hanging, strangulation and suffocation",X70,84,2171603,3.9
,"San Bernardino County, CA",06071,Intentional self-harm by handgun discharge,X72,77,2171603,3.5
,"San Bernardino County, CA",06071,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,10,2171603,Unreliable
,"San Bernardino County, CA",06071,Intentional self-harm by other and unspecified firearm discharge,X74,24,2171603,1.1
,"San Diego County, CA",06073,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,15,3343364,Unreliable
,"San Diego County, CA",06073,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,29,3343364,0.9
,"San Diego County, CA",06073,Intentional self-poisoning by and exposure to other gases and vapours,X67,14,3343364,Unreliable
,"San Diego County, CA",06073,"Intentional self-harm by hanging, strangulation and suffocation",X70,147,3343364,4.4
,"San Diego County, CA",06073,Intentional self-harm by drowning and submersion,X71,12,3343364,Unreliable
,"San Diego County, CA",06073,Intentional self-harm by handgun discharge,X72,126,3343364,3.8
,"San Diego County, CA",06073,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,27,3343364,0.8
,"San Diego County, CA",06073,Intentional self-harm by other and unspecified firearm discharge,X74,15,3343364,Unreliable
,"San Diego County, CA",06073,Intentional self-harm by sharp object,X78,14,3343364,Unreliable
,"San Diego County, CA",06073,Intentional self-harm by jumping from a high place,X80,25,3343364,0.7
,"San Diego County, CA",06073,Intentional self-harm by jumping or lying before moving object,X81,10,3343364,Unreliable
,"San Francisco County, CA",06075,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,883305,3.3
,"San Francisco County, CA",06075,Intentional self-harm by other and unspecified firearm discharge,X74,14,883305,Unreliable
,"San Francisco County, CA",06075,Intentional self-harm by jumping from a high place,X80,11,883305,Unreliable
,"San Joaquin County, CA",06077,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,752660,3.6
,"San Joaquin County, CA",06077,Intentional self-harm by other and unspecified firearm discharge,X74,20,752660,2.7
,"San Luis Obispo County, CA",06079,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,284010,Unreliable
,"San Luis Obispo County, CA",06079,Intentional self-harm by handgun discharge,X72,16,284010,Unreliable
,"San Mateo County, CA",06081,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,769545,Unreliable
,"San Mateo County, CA",06081,Intentional self-harm by handgun discharge,X72,21,769545,2.7
,"Santa Barbara County, CA",06083,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,446527,Unreliable
,"Santa Barbara County, CA",06083,Intentional self-harm by other and unspecified firearm discharge,X74,14,446527,Unreliable
,"Santa Clara County, CA",06085,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,1937570,Unreliable
,"Santa Clara County, CA",06085,"Intentional self-harm by hanging, strangulation and suffocation",X70,59,1937570,3.0
,"Santa Clara County, CA",06085,Intentional self-harm by handgun discharge,X72,43,1937570,2.2
,"Santa Cruz County, CA",06087,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,274255,Unreliable
,"Santa Cruz County, CA",06087,Intentional self-harm by handgun discharge,X72,12,274255,Unreliable
,"Shasta County, CA",06089,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,180040,Unreliable
,"Shasta County, CA",06089,Intentional self-harm by handgun discharge,X72,19,180040,Unreliable
,"Solano County, CA",06095,"Intentional self-harm by hanging, strangulation and suffocation",X70,22,446610,4.9
,"Solano County, CA",06095,Intentional self-harm by handgun discharge,X72,17,446610,Unreliable
,"Sonoma County, CA",06097,"Intentional self-harm by hanging, strangulation and suffocation",X70,34,499942,6.8
,"Sonoma County, CA",06097,Intentional self-harm by handgun discharge,X72,16,499942,Unreliable
,"Stanislaus County, CA",06099,"Intentional self-harm by hanging, strangulation and suffocation",X70,25,549815,4.5
,"Stanislaus County, CA",06099,Intentional self-harm by handgun discharge,X72,20,549815,3.6
,"Tehama County, CA",06103,Intentional self-harm by other and unspecified firearm discharge,X74,13,63916,Unreliable
,"Tulare County, CA",06107,"Intentional self-harm by hanging, strangulation and suffocation",X70,20,465861,4.3
,"Tulare County, CA",06107,Intentional self-harm by other and unspecified firearm discharge,X74,16,465861,Unreliable
,"Ventura County, CA",06111,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,850967,3.2
,"Ventura County, CA",06111,Intentional self-harm by handgun discharge,X72,45,850967,5.3
,"Yolo County, CA",06113,"Intentional self-harm by hanging, strangulation and suffocation",X70,10,220408,Unreliable
,"Adams County, CO",08001,"Intentional self-harm by hanging, strangulation and suffocation",X70,36,511868,7.0
,"Adams County, CO",08001,Intentional self-harm by other and unspecified firearm discharge,X74,43,511868,8.4
,"Arapahoe County, CO",08005,"Intentional self-harm by hanging, strangulation and suffocation",X70,34,651215,5.2
,"Arapahoe County, CO",08005,Intentional self-harm by other and unspecified firearm discharge,X74,45,651215,6.9
,"Boulder County, CO",08013,"Intentional self-harm by hanging, strangulation and suffocation",X70,19,326078,Unreliable
,"Boulder County, CO",08013,Intentional self-harm by handgun discharge,X72,20,326078,6.1
,"Boulder County, CO",08013,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,326078,Unreliable
,"Denver County, CO",08031,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,716492,Unreliable
,"Denver County, CO",08031,"Intentional self-harm by hanging, strangulation and suffocation",X70,57,716492,8.0
,"Denver County, CO",08031,Intentional self-harm by other and unspecified firearm discharge,X74,63,716492,8.8
,"Douglas County, CO",08035,"Intentional self-harm by hanging, strangulation and suffocation",X70,16,342776,Unreliable
,"Douglas County, CO",08035,Intentional self-harm by handgun discharge,X72,22,342776,6.4
,"El Paso County, CO",08041,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,713856,Unreliable
,"El Paso County, CO",08041,Intentional self-poisoning by and exposure to other gases and vapours,X67,10,713856,Unreliable
,"El Paso County, CO",08041,"Intentional self-harm by hanging, strangulation and suffocation",X70,52,713856,7.3
,"El Paso County, CO",08041,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,713856,Unreliable
,"El Paso County, CO",08041,Intentional self-harm by other and unspecified firearm discharge,X74,76,713856,10.6
,"Garfield County, CO",08045,Intentional self-harm by other and unspecified firearm discharge,X74,11,59770,Unreliable
,"Jefferson County, CO",08059,"Intentional self-harm by hanging, strangulation and suffocation",X70,31,580233,5.3
,"Jefferson County, CO",08059,Intentional self-harm by handgun discharge,X72,49,580233,8.4
,"Jefferson County, CO",08059,Intentional self-harm by other and unspecified firearm discharge,X74,11,580233,Unreliable
,"Larimer County, CO",08069,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,350518,Unreliable
,"Larimer County, CO",08069,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,350518,Unreliable
,"Larimer County, CO",08069,Intentional self-harm by handgun discharge,X72,20,350518,5.7
,"Larimer County, CO",08069,Intentional self-harm by other and unspecified firearm discharge,X74,19,350518,Unreliable
,"Mesa County, CO",08077,"Intentional self-harm by hanging, strangulation and suffocation",X70,13,153207,Unreliable
,"Mesa County, CO",08077,Intentional self-harm by other and unspecified firearm discharge,X74,33,153207,21.5
,"Pueblo County, CO",08101,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,167529,Unreliable
,"Pueblo County, CO",08101,Intentional self-harm by handgun discharge,X72,19,167529,Unreliable
,"Weld County, CO",08123,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,314305,Unreliable
,"Weld County, CO",08123,Intentional self-harm by handgun discharge,X72,25,314305,8.0
,"Fairfield County, CT",09001,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,943823,Unreliable
,"Fairfield County, CT",09001,"Intentional self-harm by hanging, strangulation and suffocation",X70,27,943823,2.9
,"Hartford County, CT",09003,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,892697,Unreliable
,"Hartford County, CT",09003,"Intentional self-harm by hanging, strangulation and suffocation",X70,46,892697,5.2
,"Hartford County, CT",09003,Intentional self-harm by other and unspecified firearm discharge,X74,20,892697,2.2
,"Litchfield County, CT",09005,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,181111,Unreliable
,"Litchfield County, CT",09005,Intentional self-harm by other and unspecified firearm discharge,X74,12,181111,Unreliable
,"New Haven County, CT",09009,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,14,857620,Unreliable
,"New Haven County, CT",09009,"Intentional self-harm by hanging, strangulation and suffocation",X70,37,857620,4.3
,"New Haven County, CT",09009,Intentional self-harm by other and unspecified firearm discharge,X74,29,857620,3.4
,"New London County, CT",09011,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,266784,Unreliable
,"Kent County, DE",10001,Intentional self-harm by other and unspecified firearm discharge,X74,11,178550,Unreliable
,"New Castle County, DE",10003,"Intentional self-harm by hanging, strangulation and suffocation",X70,26,559335,4.6
,"New Castle County, DE",10003,Intentional self-harm by other and unspecified firearm discharge,X74,27,559335,4.8
,"Sussex County, DE",10005,Intentional self-harm by other and unspecified firearm discharge,X74,11,229286,Unreliable
,"District of Columbia, DC",11001,"Intentional self-harm by hanging, strangulation and suffocation",X70,24,702455,3.4
,"Alachua County, FL",12001,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,269956,Unreliable
,"Alachua County, FL",12001,Intentional self-harm by other and unspecified firearm discharge,X74,18,269956,Unreliable
,"Bay County, FL",12005,Intentional self-harm by other and unspecified firearm discharge,X74,30,185287,16.2
,"Brevard County, FL",12009,"Intentional self-harm by hanging, strangulation and suffocation",X70,34,596849,5.7
,"Brevard County, FL",12009,Intentional self-harm by other and unspecified firearm discharge,X74,61,596849,10.2
,"Broward County, FL",12011,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18,1951260,Unreliable
,"Broward County, FL",12011,"Intentional self-harm by hanging, strangulation and suffocation",X70,74,1951260,3.8
,"Broward County, FL",12011,Intentional self-harm by other and unspecified firearm discharge,X74,108,1951260,5.5
,"Broward County, FL",12011,Intentional self-harm by jumping from a high place,X80,13,1951260,Unreliable
,"Charlotte County, FL",12015,Intentional self-harm by other and unspecified firearm discharge,X74,13,184998,Unreliable
,"Citrus County, FL",12017,"Intentional self-harm by hanging, strangulation and suffocation",X70,11,147929,Unreliable
,"Citrus County, FL",12017,Intentional self-harm by other and unspecified firearm discharge,X74,27,147929,18.3
,"Clay County, FL",12019,Intentional self-harm by other and unspecified firearm discharge,X74,14,216072,Unreliable
,"Collier County, FL",12021,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,378488,Unreliable
,"Collier County, FL",12021,Intentional self-harm by other and unspecified firearm discharge,X74,24,378488,6.3
,"Duval County, FL",12031,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,14,950181,Unreliable
,"Duval County, FL",12031,"Intentional self-harm by hanging, strangulation and suffocation",X70,35,950181,3.7
,"Duval County, FL",12031,Intentional self-harm by handgun discharge,X72,19,950181,Unreliable
,"Duval County, FL",12031,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11,950181,Unreliable
,"Duval County, FL",12031,Intentional self-harm by other and unspecified firearm discharge,X74,63,950181,6.6
,"Escambia County, FL",12033,Intentional self-harm by handgun discharge,X72,22,315534,7.0
,"Flagler County, FL",12035,Intentional self-harm by handgun discharge,X72,14,112067,Unreliable
,"Hernando County, FL",12053,Intentional self-harm by other and unspecified firearm discharge,X74,18,190865,Unreliable
,"Highlands County, FL",12055,Intentional self-harm by other and unspecified firearm discharge,X74,12,105424,Unreliable
,"Hillsborough County, FL",12057,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,17,1436888,Unreliable
,"Hillsborough County, FL",12057,"Intentional self-harm by hanging, strangulation and suffocation",X70,56,1436888,3.9
,"Hillsborough County, FL",12057,Intentional self-harm by handgun discharge,X72,61,1436888,4.2
,"Hillsborough County, FL",12057,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,10,1436888,Unreliable
,"Hillsborough County, FL",12057,Intentional self-harm by other and unspecified firearm discharge,X74,35,1436888,2.4
,"Indian River County, FL",12061,Intentional self-harm by other and unspecified firearm discharge,X74,20,157413,12.7
,"Lake County, FL",12069,"Intentional self-harm by hanging, strangulation and suffocation",X70,18,356495,Unreliable
,"Lake County, FL",12069,Intentional self-harm by other and unspecified firearm discharge,X74,33,356495,9.3
,"Lee County, FL",12071,"Intentional self-harm by hanging, strangulation and suffocation",X70,37,754610,4.9
,"Lee County, FL",12071,Intentional self-harm by handgun discharge,X72,29,754610,3.8
,"Lee County, FL",12071,Intentional self-harm by other and unspecified firearm discharge,X74,42,754610,5.6
,"Leon County, FL",12073,Intentional self-harm by handgun discharge,X72,13,292502,Unreliable
,"Manatee County, FL",12081,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,394855,Unreliable
,"Manatee County, FL",12081,Intentional self-harm by handgun discharge,X72,39,394855,9.9
,"Marion County, FL",12083,"Intentional self-harm by hanging, strangulation and suffocation",X70,25,359977,6.9
,"Marion County, FL",12083,Intentional self-harm by other and unspecified firearm discharge,X74,43,359977,11.9
,"Martin County, FL",12085,Intentional self-harm by other and unspecified firearm discharge,X74,21,160912,13.1
,"Miami-Dade County, FL",12086,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,2761581,Unreliable
,"Miami-Dade County, FL",12086,"Intentional self-harm by hanging, strangulation and suffocation",X70,69,2761581,2.5
,"Miami-Dade County, FL",12086,Intentional self-harm by other and unspecified firearm discharge,X74,131,2761581,4.7
,"Miami-Dade County, FL",12086,Intentional self-harm by jumping from a high place,X80,28,2761581,1.0
,"Monroe County, FL",12087,Intentional self-harm by other and unspecified firearm discharge,X74,22,75027,29.3
,"Okaloosa County, FL",12091,"Intentional self-harm by hanging, strangulation and suffocation",X70,14,207269,Unreliable
,"Okaloosa County, FL",12091,Intentional self-harm by handgun discharge,X72,17,207269,Unreliable
,"Orange County, FL",12095,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,1380645,Unreliable
,"Orange County, FL",12095,"Intentional self-harm by hanging, strangulation and suffocation",X70,47,1380645,3.4
,"Orange County, FL",12095,Intentional self-harm by handgun discharge,X72,59,1380645,4.3
,"Osceola County, FL",12097,"Intentional self-harm by hanging, strangulation and suffocation",X70,15,367990,Unreliable
,"Osceola County, FL",12097,Intentional self-harm by handgun discharge,X72,13,367990,Unreliable
,"Palm Beach County, FL",12099,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,12,1485941,Unreliable
,"Palm Beach County, FL",12099,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,27,1485941,1.8
,"Palm Beach County, FL",12099,"Intentional self-harm by hanging, strangulation and suffocation",X70,52,1485941,3.5
,"Palm Beach County, FL",12099,Intentional self-harm by handgun discharge,X72,16,1485941,Unreliable
,"Palm Beach County, FL",12099,Intentional self-harm by other and unspecified firearm discharge,X74,91,1485941,6.1
,"Palm Beach County, FL",12099,Intentional self-harm by jumping or lying before moving object,X81,11,1485941,Unreliable
